Order ID,Order Date,Product,Category,Region,City,Salesperson,Channel,Units,Unit Price,Unit Cost,Discount,Gross Sales,Discount Amount,Net Sales,Total Cost,Profit,Profit Mrgine,Month,Performance Status
ORD007,2026-02-04,Laptop,Electronics,WEST,Pune,Sara,Retail,1,55000,44000,0,55000,0,55000,44000,11000,0.2,Feb-2026,High Margine
ORD041,2026-07-23,Laptop,Electronics,EAST,Patna,Zaid,Corporate,1,55000,44000,0,55000,0,55000,44000,11000,0.2,Jul-2026,High Margine
ORD054,2026-09-06,Monitor,Electronics,EAST,Patna,Zaid,Corporate,4,18000,13500,0.1,72000,7200,64800,54000,10800,0.16666666666666666,Sep-2026,Medium Margine
ORD048,2026-08-27,Projector,Electronics,WEST,Mumbai,Sara,Online,2,30000,23500,0.05,60000,3000,57000,47000,10000,0.17543859649122806,Aug-2026,Medium Margine
ORD045,2026-08-12,Printer,Electronics,EAST,Kolkata,Zaid,Online,3,14500,10500,0.05,43500,2175,41325,31500,9825,0.23774954627949182,Aug-2026,High Margine
ORD056,2026-09-07,Printer,Electronics,SOUTH,Hyderabad,Rahul,Retail,3,14500,10500,0.05,43500,2175,41325,31500,9825,0.23774954627949182,Sep-2026,High Margine
ORD003,2026-01-15,Monitor,Electronics,WEST,Mumbai,Sara,Corporate,3,18000,13500,0.1,54000,5400,48600,40500,8100,0.16666666666666666,Jan-2026,Medium Margine
ORD005,2026-01-25,Printer,Electronics,EAST,Kolkata,Zaid,Retail,2,14500,10500,0,29000,0,29000,21000,8000,0.27586206896551724,Jan-2026,High Margine
ORD020,2026-04-09,Printer,Electronics,SOUTH,Chennai,Rahul,Corporate,3,14500,10500,0.1,43500,4350,39150,31500,7650,0.19540229885057472,Apr-2026,Medium Margine
ORD010,2026-02-19,Projector,Electronics,SOUTH,Hyderabad,Rahul,Corporate,1,30000,23500,0.1,30000,3000,27000,23500,3500,0.12962962962962962,Feb-2026,Medium Margine
ORD036,2026-06-28,Projector,Electronics,EAST,Kolkata,Zaid,Corporate,1,30000,23500,0.1,30000,3000,27000,23500,3500,0.12962962962962962,Jun-2026,Medium Margine
ORD058,2026-09-08,Router,Networking,NORTH,Chandigarh,Aman,Online,8,3500,2200,0,28000,0,28000,17600,10400,0.37142857142857144,Sep-2026,High Margine
ORD034,2026-06-18,Router,Networking,WEST,Pune,Sara,Retail,7,3500,2200,0.05,24500,1225,23275,15400,7875,0.3383458646616541,Jun-2026,High Margine
ORD019,2026-04-04,Router,Networking,NORTH,Ludhiana,Aman,Online,5,3500,2200,0,17500,0,17500,11000,6500,0.37142857142857144,Apr-2026,High Margine
ORD008,2026-02-09,Router,Networking,NORTH,Delhi,Aman,Online,6,3500,2200,0.1,21000,2100,18900,13200,5700,0.30158730158730157,Feb-2026,High Margine
ORD047,2026-08-22,Router,Networking,SOUTH,Chennai,Rahul,Corporate,6,3500,2200,0.1,21000,2100,18900,13200,5700,0.30158730158730157,Aug-2026,High Margine
ORD053,2026-09-06,SSD,Storage,NORTH,Delhi,Aman,Retail,9,5500,3600,0.05,49500,2475,47025,32400,14625,0.31100478468899523,Sep-2026,High Margine
ORD055,2026-09-07,USB Drive,Storage,NORTH,Ludhiana,Aman,Online,22,1200,650,0,26400,0,26400,14300,12100,0.4583333333333333,Sep-2026,High Margine
ORD028,2026-05-19,SSD,Storage,NORTH,Ludhiana,Aman,Online,7,5500,3600,0.05,38500,1925,36575,25200,11375,0.31100478468899523,May-2026,High Margine
ORD030,2026-05-29,USB Drive,Storage,WEST,Mumbai,Sara,Retail,20,1200,650,0,24000,0,24000,13000,11000,0.4583333333333333,May-2026,High Margine
ORD043,2026-08-02,SSD,Storage,WEST,Pune,Sara,Retail,8,5500,3600,0.1,44000,4400,39600,28800,10800,0.2727272727272727,Aug-2026,High Margine
ORD015,2026-03-15,SSD,Storage,SOUTH,Bengaluru,Rahul,Corporate,6,5500,3600,0.05,33000,1650,31350,21600,9750,0.31100478468899523,Mar-2026,High Margine
ORD016,2026-03-20,USB Drive,Storage,WEST,Pune,Sara,Retail,15,1200,650,0,18000,0,18000,9750,8250,0.4583333333333333,Mar-2026,High Margine
ORD004,2026-01-20,SSD,Storage,NORTH,Chandigarh,Aman,Online,5,5500,3600,0.05,27500,1375,26125,18000,8125,0.31100478468899523,Jan-2026,High Margine
ORD012,2026-02-28,External HDD,Storage,NORTH,Chandigarh,Aman,Online,5,6200,4300,0.05,31000,1550,29450,21500,7950,0.2699490662139219,Feb-2026,High Margine
ORD040,2026-07-18,USB Drive,Storage,NORTH,Chandigarh,Aman,Retail,18,1200,650,0.1,21600,2160,19440,11700,7740,0.39814814814814814,Jul-2026,High Margine
ORD051,2026-09-04,External HDD,Storage,SOUTH,Bengaluru,Rahul,Corporate,5,6200,4300,0.1,31000,3100,27900,21500,6400,0.22939068100358423,Sep-2026,High Margine
ORD023,2026-04-24,External HDD,Storage,EAST,Kolkata,Zaid,Retail,4,6200,4300,0.05,24800,1240,23560,17200,6360,0.2699490662139219,Apr-2026,High Margine
ORD037,2026-07-03,External HDD,Storage,NORTH,Ludhiana,Aman,Retail,4,6200,4300,0.05,24800,1240,23560,17200,6360,0.2699490662139219,Jul-2026,High Margine
